id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6283,Casa Al Sur,13310,Pamela,,Balvanera,-34.60523,-58.41042,Entire home/apt,4810,3,1,2011-01-31,0.01,1,365
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58184,-58.42415,Entire home/apt,6254,2,27,2021-04-03,0.34,1,76
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.59777,-58.39664,Private room,2597,1,20,2016-02-12,0.17,1,365
13095,Standard Room at Palermo Viejo B&B w pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2722,1,1,2018-12-18,0.03,7,365
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2722,1,0,,,7,365
13097,Standard Room at Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2722,1,1,2019-11-27,0.05,7,365
13099,Lofty room in Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59327,-58.42953,Private room,3628,1,0,,,7,365
13100,Master Room in Palermo Viejo B&B w  pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,4535,1,1,2017-11-23,0.02,7,365
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,María,,Palermo,-34.58617,-58.41036,Entire home/apt,3180,5,90,2019-11-03,0.82,1,364
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,San Nicolas,-34.60786,-58.37211,Entire home/apt,11549,1,0,,,1,365
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53892,-58.46599,Private room,2886,29,0,,,1,365
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.60346,-58.41179,Private room,3505,3,6,2011-07-11,0.05,2,365
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61439,-58.37611,Entire home/apt,3656,2,46,2019-07-01,0.41,7,199
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,2886,2,22,2016-07-11,0.33,7,302
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,,San Nicolas,-34.6037,-58.37888,Private room,3271,3,7,2018-05-27,0.06,2,337
18007,apartament in San Telmo,69404,Marcelo,,Constitucion,-34.61751,-58.37814,Entire home/apt,33670,1,0,,,1,365
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,,San Telmo,-34.62208,-58.36724,Entire home/apt,6542,7,144,2017-12-11,1.26,2,358
19642,SKY LOFT LARGE,74406,Mathilde,,Palermo,-34.58998,-58.43583,Entire home/apt,6734,15,0,,,10,365
20062,PENTHOUSE / best city views !! terrace & pool,75891,Sergio,,Palermo,-34.58183,-58.44143,Entire home/apt,8837,2,227,2020-12-23,2.46,5,159
20429,Hermoso  y acogedor departamento.,77065,Marcelo,,Constitucion,-34.6226,-58.38704,Entire home/apt,3367,15,0,,,1,89
21807,Comfortable apartment in San Telmo,83312,Graciela,,San Telmo,-34.62085,-58.37199,Entire home/apt,4810,6,0,,,2,365
21816,Apartment at Faena Hotel,83130,Marce,,Puerto Madero,-34.61386,-58.36141,Entire home/apt,17324,7,1,2020-10-19,0.11,8,178
21837,Comfortable studio in Callao Avenue,80208,Olga,,San Nicolas,-34.60777,-58.37245,Entire home/apt,5775,3,0,,,1,365
23798,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",94615,Nicola,,Monserrat,-34.61266,-58.37479,Entire home/apt,3217,30,48,2020-01-18,0.98,1,75
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,,San Nicolas,-34.60254,-58.37811,Entire home/apt,1924,1,343,2020-02-08,3.39,5,351
24763,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,,Chacarita,-34.58494,-58.44419,Entire home/apt,6253,10,32,2017-07-19,0.36,1,89
26258,Huge 473sqf Studio @ Palermo University area,111013,Daniel,,Almagro,-34.59997,-58.41238,Entire home/apt,3367,7,2,2013-10-23,0.02,2,362
26839,Studio in retiro neighborhood,114411,Nicole,,Retiro,-34.594,-58.37992,Entire home/apt,1443,4,2,2021-01-31,0.17,1,365
